date,start_endTime,name,attention,duration,startTime,tv_name,endTime
7/1/2015,23:42:00~00:15:00,经济半小时,0.000404998,33,23:42:00,CCTV-2,00:15:00
7/2/2015,00:16:00~00:44:00,央视财经评论,0.000166719,28,00:16:00,CCTV-2,
7/2/2015,00:45:00~02:34:00,厨王争霸,8.46E-005,109,00:45:00,CCTV-2,
7/2/2015,02:35:00~03:31:00,交换空间,3.94E-005,56,02:35:00,CCTV-2,
7/2/2015,03:32:00~04:13:00,周末特供,3.37E-005,41,03:32:00,CCTV-2,
7/2/2015,04:14:00~04:42:00,生财有道,3.28E-005,28,04:14:00,CCTV-2,
7/2/2015,04:43:00~05:18:00,消费主张,3.24E-005,35,04:43:00,CCTV-2,
7/2/2015,05:19:00~06:09:00,开讲啦,5.71E-005,50,05:19:00,CCTV-2,
7/2/2015,06:10:00~06:59:00,正大综艺,0.000102934,49,06:10:00,CCTV-2,
7/2/2015,07:00:00~08:59:00,第一时间,0.000775889,119,07:00:00,CCTV-2,
7/2/2015,09:00:00~10:04:00,交易时间,0.000926298,64,09:00:00,CCTV-2,
7/2/2015,10:05:00~10:39:00,消费主张,0.000693997,34,10:05:00,CCTV-2,
7/2/2015,10:40:00~11:09:00,生财有道,0.000661508,29,10:40:00,CCTV-2,
7/2/2015,11:10:00~11:27:00,周末特供:世界厨房我的家,0.000546591,17,11:10:00,CCTV-2,
7/2/2015,11:28:00~11:49:00,回家吃饭,0.000568767,21,11:28:00,CCTV-2,
7/2/2015,11:50:00~12:29:00,环球财经连线,0.000681713,39,11:50:00,CCTV-2,
7/2/2015,12:30:00~13:09:00,他们创造奇迹,0.000714759,39,12:30:00,CCTV-2,
7/2/2015,13:10:00~13:20:00,周末特供:空间榜样,0.000617472,10,13:10:00,CCTV-2,
7/2/2015,13:21:00~14:33:00,交易时间,0.000481868,72,13:21:00,CCTV-2,
7/2/2015,14:34:00~15:17:00,实战商学院,0.000256749,43,14:34:00,CCTV-2,
7/2/2015,15:18:00~15:48:00,经济半小时,0.000313274,30,15:18:00,CCTV-2,
7/2/2015,15:49:00~15:58:00,空间榜样,0.000239577,9,15:49:00,CCTV-2,
7/2/2015,15:59:00~16:58:00,中国大能手(2),0.000419053,59,15:59:00,CCTV-2,
7/2/2015,16:59:00~17:29:00,经济与法,0.000336963,30,16:59:00,CCTV-2,
7/2/2015,17:30:00~18:29:00,购时尚,0.00040725,59,17:30:00,CCTV-2,
7/2/2015,18:30:00~18:51:00,回家吃饭,0.00072233,21,18:30:00,CCTV-2,
7/2/2015,18:52:00~19:24:00,生财有道,0.000943601,32,18:52:00,CCTV-2,
7/2/2015,19:25:00~19:59:00,消费主张,0.000856669,34,19:25:00,CCTV-2,
7/2/2015,20:00:00~20:29:00,经济与法,0.000963699,29,20:00:00,CCTV-2,
7/2/2015,20:30:00~21:19:00,经济信息联播,0.0011388,49,20:30:00,CCTV-2,
