内部ID,平均油耗,平均点火正时,平均节气门开合角度,平均进气温度,平均空气流量,平均电瓶电压,平均冷却液水温,入库时间
352016850081381,11.03,6.5,-.95,31,1,18.6,98,7/31/14
352016850081381,9.28,-4.5,-.95,39,1,18.6,91,7/29/14
352016850081381,9.12,-5,-.51,37,1,18.6,91,7/29/14
352016850081381,22.33,-1.5,.61,49,1,18.4,85,7/30/14
352016850081381,12.04,28.5,-.51,29,1,18.6,92,7/31/14
352016850081381,9.1,0,-.95,32,1,18.5,98,7/31/14
352016850081381,8.49,9,-.07,30,1,18.5,99,7/31/14
352016850081381,14.98,20.5,-.95,33,1,18.5,94,7/31/14
352016850081381,7.35,-6,-.95,32,1,18.5,35,7/31/14
352016850081381,9.22,33.5,.05,38,1,18.6,90,7/29/14
352016850081381,10.15,12,.61,38,1,18.4,93,6/2/14
352016850081381,10.7,20,.61,38,1,18,72,6/2/14
352016850081381,14.33,23.5,.05,43,1,18.3,91,6/2/14
352016850081381,13.16,20.5,.61,42,1,17.6,93,6/2/14
352016850081381,8.02,15.5,-.95,38,1,18.6,94,6/3/14
352016850081381,18.57,13,.61,46,1,18.4,95,6/2/14
352016850081381,8.21,9.5,.61,28,1,18.6,99,6/3/14
352016850081381,7.93,12.5,-.39,34,1,18.6,105,6/3/14
352016850081381,10.17,15.5,.61,34,1,17.5,99,6/3/14
352016850081381,0,-3,-.39,34,1,18.6,94,6/3/14
352016850081381,7.78,7,.49,29,1,17.4,100,6/3/14
352016850081381,7.78,2,-.95,29,1,17.5,103,6/3/14
352016850081381,12.69,16.5,-.39,39,1,18.4,62,6/2/14
352016850081381,15.34,7,.05,41,1,18.4,51,6/2/14
352016850081381,6.48,-3.5,1.05,28,1,17.4,100,6/5/14
352016850081381,6.48,-2,-.95,29,1,17.5,102,6/5/14
352016850081381,6.49,3.5,1.17,30,1,17.4,107,6/5/14
352016850081381,6.49,5.5,1.17,31,1,17.4,103,6/5/14
352016850081381,6.49,-2.5,.61,33,1,17.5,107,6/5/14
352016850081381,6.52,-1.5,1.17,34,1,17.4,101,6/5/14
352016850081381,13.84,3.5,.61,39,1,17.4,91,6/7/14
352016850081381,9.01,-6,.61,32,1,17.4,99,6/7/14
352016850081381,8.71,6,-.39,34,1,18.5,102,6/7/14
