内部ID,当前引擎转速,当前引擎温度,前一次时间段至此引擎平均转速,引擎负荷,入库时间
352016850081381,2139,80,198,33,6/7/14
352016850081381,2081,82,198,70,6/7/14
352016850081381,1834,100,442,35,6/9/14
352016850081381,2058,101,442,29,6/9/14
352016850081381,2102,101,442,29,6/9/14
352016850081381,2153,101,442,28,6/9/14
352016850081381,1603,101,442,30,6/9/14
352016850081381,1366,101,442,33,6/9/14
352016850081381,1062,102,442,40,6/9/14
352016850081381,1515,102,442,84,6/9/14
352016850081381,1864,102,442,46,6/9/14
352016850081381,2143,104,442,29,6/9/14
352016850081381,1420,104,442,31,6/9/14
352016850081381,1033,104,442,50,6/9/14
352016850081381,1228,104,442,35,6/9/14
352016850081381,933,104,442,41,6/9/14
352016850081381,958,105,442,34,6/9/14
352016850081381,865,105,442,33,6/9/14
352016850081381,1479,105,442,30,6/9/14
352016850081381,1344,106,442,33,6/9/14
352016850081381,1173,106,442,37,6/9/14
352016850081381,1202,106,442,37,6/9/14
352016850081381,1198,107,442,30,6/9/14
352016850081381,1202,107,442,33,6/9/14
352016850081381,798,107,442,37,6/9/14
352016850081381,967,106,442,41,6/9/14
352016850081381,881,106,442,35,6/9/14
352016850081381,757,105,442,43,6/9/14
352016850081381,1089,104,442,35,6/9/14
352016850081381,1051,102,442,35,6/9/14
352016850081381,1444,101,442,36,6/9/14
352016850081381,676,101,442,95,6/9/14
352016850081381,1105,101,442,98,6/9/14
352016850081381,1510,101,442,98,6/9/14
352016850081381,1624,101,442,98,6/9/14
352016850081381,2273,101,442,78,6/9/14
352016850081381,1764,102,442,31,6/9/14
352016850081381,1789,102,442,47,6/9/14
352016850081381,2132,102,442,31,6/9/14
352016850081381,2040,102,442,33,6/9/14
352016850081381,2235,102,442,48,6/9/14
352016850081381,1975,102,442,98,6/9/14
352016850081381,2099,102,442,27,6/9/14
352016850081381,2040,102,442,29,6/9/14
352016850081381,2033,101,442,56,6/9/14
352016850081381,2002,101,442,45,6/9/14
352016850081381,1923,100,442,29,6/9/14
352016850081381,1822,100,442,30,6/9/14
352016850081381,1674,98,442,42,6/9/14
352016850081381,1672,98,442,37,6/9/14
352016850081381,1660,98,442,41,6/9/14
352016850081381,1760,98,442,56,6/9/14
352016850081381,1693,98,442,56,6/9/14
352016850081381,1551,98,442,75,6/9/14
352016850081381,1189,98,442,64,6/9/14
352016850081381,1632,98,442,51,6/9/14
352016850081381,1788,98,442,36,6/9/14
352016850081381,1640,98,442,31,6/9/14
352016850081381,1803,100,442,32,6/9/14
352016850081381,1292,100,442,98,6/9/14
352016850081381,1968,100,442,41,6/9/14
352016850081381,2011,100,442,30,6/9/14
352016850081381,912,100,442,35,6/9/14
352016850081381,853,101,442,40,6/9/14
352016850081381,1075,101,442,33,6/9/14
352016850081381,763,101,442,36,6/9/14
352016850081381,844,101,442,37,6/9/14
352016850081381,1028,102,442,72,6/9/14
352016850081381,1833,102,442,38,6/9/14
352016850081381,1424,104,442,31,6/9/14
352016850081381,1282,104,442,46,6/9/14
352016850081381,1566,104,442,95,6/9/14
352016850081381,2150,105,442,82,6/9/14
352016850081381,2225,105,442,28,6/9/14
352016850081381,1798,105,442,30,6/9/14
352016850081381,823,105,442,35,6/9/14
352016850081381,790,105,442,42,6/9/14
352016850081381,988,105,442,58,6/9/14
352016850081381,1635,105,442,74,6/9/14
352016850081381,1452,79,168,32,6/11/14
352016850081381,1051,80,168,59,6/11/14
352016850081381,1486,80,168,52,6/11/14
352016850081381,1716,80,168,42,6/11/14
352016850081381,1869,81,168,30,6/11/14
352016850081381,1969,81,168,33,6/11/14
352016850081381,1646,82,168,29,6/11/14
352016850081381,938,83,168,35,6/11/14
352016850081381,795,83,168,35,6/11/14
352016850081381,881,83,168,31,6/11/14
352016850081381,1324,83,168,29,6/11/14
352016850081381,1152,85,168,35,6/11/14
352016850081381,901,85,168,39,6/11/14
352016850081381,1050,85,168,32,6/11/14
352016850081381,1840,86,168,76,6/11/14
352016850081381,2126,86,168,29,6/11/14
352016850081381,1604,87,168,80,6/11/14
352016850081381,2068,87,168,42,6/11/14
352016850081381,1496,88,168,33,6/11/14
352016850081381,1062,89,168,34,6/11/14
352016850081381,1334,89,168,80,6/11/14
352016850081381,1826,89,168,37,6/11/14
352016850081381,1810,91,168,59,6/11/14
352016850081381,1929,98,624,31,6/8/14
352016850081381,1347,98,624,33,6/8/14
352016850081381,816,98,624,37,6/8/14
352016850081381,787,98,624,37,6/8/14
352016850081381,1153,98,624,36,6/8/14
352016850081381,1523,98,624,32,6/8/14
352016850081381,1587,98,624,32,6/8/14
352016850081381,1078,98,624,94,6/8/14
352016850081381,1143,98,624,35,6/8/14
352016850081381,1273,100,624,33,6/8/14
352016850081381,808,98,624,64,6/8/14
352016850081381,1700,98,719,65,6/10/14
352016850081381,1703,98,719,84,6/10/14
352016850081381,1901,98,719,80,6/10/14
352016850081381,2051,98,719,33,6/10/14
352016850081381,2139,98,719,53,6/10/14
352016850081381,2212,98,719,32,6/10/14
352016850081381,2224,98,719,28,6/10/14
352016850081381,2152,96,719,28,6/10/14
