代码,名称,全称,上一级代码
0,全    国,全  国,-1
11000000,北京市,北京市,0
11010000,市辖区,北京市市辖区,11000000
11010100,东城区,北京市市辖区东城区,11010000
11010101,东华门街道,北京市市辖区东城区东华门街道,11010100
11010102,景山街道,北京市市辖区东城区景山街道,11010100
11010103,交道口街道,北京市市辖区东城区交道口街道,11010100
11010104,安定门街道,北京市市辖区东城区安定门街道,11010100
11010105,和平里街道,北京市市辖区东城区和平里街道,11010100
11010106,北新桥街道,北京市市辖区东城区北新桥街道,11010100
11010107,东四街道,北京市市辖区东城区东四街道,11010100
11010108,朝阳门街道,北京市市辖区东城区朝阳门街道,11010100
11010109,建国门街道,北京市市辖区东城区建国门街道,11010100
11010110,东直门街道,北京市市辖区东城区东直门街道,11010100
11010199,不详乡镇,北京市市辖区东城区不详乡镇,11010100
11010200,西城区,北京市市辖区西城区,11010000
11010201,德胜街道,北京市市辖区西城区德胜街道,11010200
11010202,展览路街道,北京市市辖区西城区展览路街道,11010200
11010204,月坛街道,北京市市辖区西城区月坛街道,11010200
11010205,金融街街道,北京市市辖区西城区金融街街道,11010200
11010206,西长安街街道,北京市市辖区西城区西长安街街道,11010200
11010207,什刹海街道,北京市市辖区西城区什刹海街道,11010200
11010208,新街口街道,北京市市辖区西城区新街口街道,11010200
11010299,不详乡镇,北京市市辖区西城区不详乡镇,11010200
11010300,东城区(南片),北京市市辖区东城区（南片）,11010000
11010301,天坛街道,北京市市辖区东城区（南片）天坛街道,11010300
11010302,前门街道,北京市市辖区东城区（南片）前门街道,11010300
11010303,崇文门外街道,北京市市辖区东城区（南片）崇文门外街道,11010300
11010304,东花市街道,北京市市辖区东城区（南片）东花市街道,11010300
11010305,龙潭街道,北京市市辖区东城区（南片）龙潭街道,11010300
11010306,体育馆路街道,北京市市辖区东城区（南片）体育馆路街道,11010300
11010307,永定门外街道,北京市市辖区东城区（南片）永定门外街道,11010300
11010399,不详乡镇,北京市市辖区东城区（南片）不详乡镇,11010300
11010400,西城区(南片),北京市市辖区西城区(南片）,11010000
11010401,大栅栏街道,北京市市辖区西城区(南片）大栅栏街道,11010400
